                  text_004          text_003          text_002          text_000          text_001          total             
abbas             28                35                30                41                34                168               
abut              33                47                37                39                38                194               
accelerometer     26                28                34                34                33                155               
allay             37                31                32                35                31                166               
amble             40                31                26                37                37                171               
ammunition        32                42                29                29                33                165               
andy              30                28                40                31                28                157               
angiosperm        25                22                38                31                41                157               
angst             31                30                33                34                39                167               
anorthite         35                26                46                36                28                171               
anthropology      31                26                24                37                25                143               
apothecary        29                29                36                19                29                142               
appear            35                35                34                25                33                162               
archdiocese       40                39                30                33                27                169               
arcing            25                32                48                31                40                176               
armour            43                29                21                29                33                155               
arrear            27                34                31                30                41                163               
artie             32                34                36                31                23                156               
astride           40                30                34                30                39                173               
attendee          33                35                26                23                36                153               
azerbaijan        37                30                30                39                32                168               
badinage          35                43                33                38                30                179               
baptismal         32                23                36                35                27                153               
barclay           30                36                36                39                33                174               
barney            32                35                24                38                24                153               
bartender         36                33                40                28                37                174               
baseboard         31                22                39                45                27                164               
bashaw            32                28                49                28                35                172               
bathurst          38                33                35                27                35                168               
benton            38                39                40                31                38                186               
blackbird         33                31                39                38                38                179               
blight            28                42                38                23                26                157               
bloomington       31                33                34                38                27                163               
blurry            38                35                33                36                30                172               
bore              41                41                38                37                28                185               
bosporus          43                29                27                30                32                161               
brace             32                25                31                30                26                144               
briny             33                30                20                48                44                175               
bronchi           40                39                36                27                35                177               
buxom             36                26                29                23                33                147               
cabaret           30                34                30                32                25                151               
cadmium           35                38                28                43                38                182               
candidacy         29                36                39                30                27                161               
caricature        43                36                39                28                34                180               
cartographer      32                29                29                43                29                162               
chancellor        25                33                34                30                38                160               
chargeable        27                34                38                30                35                164               
chef              37                20                30                38                38                163               
christine         31                37                33                34                37                172               
churchgoing       28                37                24                31                42                162               
circlet           39                42                30                42                29                182               
clang             31                51                37                33                34                186               
cloture           28                32                47                30                29                166               
collar            36                23                34                36                39                168               
commercial        34                46                33                35                33                181               
commonwealth      29                29                35                35                34                162               
communicate       38                40                35                29                29                171               
compare           35                35                29                36                39                174               
condition         33                34                28                28                42                165               
conferrable       45                31                34                39                32                181               
contour           28                33                51                42                30                184               
cormorant         26                29                34                41                31                161               
coterie           40                52                38                42                32                204               
criterion         36                34                36                30                24                160               
crux              36                26                41                40                32                175               
cryptography      33                27                32                32                29                153               
curia             30                33                33                31                30                157               
dangerous         30                30                36                37                27                160               
darius            47                38                32                25                30                172               
dashboard         35                38                25                30                32                160               
datura            33                32                37                45                32                179               
delilah           24                32                36                33                26                151               
disgustful        39                31                40                30                45                185               
diversionary      31                31                27                32                48                169               
doll              34                42                41                44                35                196               
dominate          37                28                32                30                30                157               
doodle            41                33                38                44                32                188               
dr                43                32                30                31                36                172               
dread             37                30                38                33                41                179               
driven            30                37                26                37                35                165               
drowse            32                36                40                30                32                170               
duckling          37                24                28                39                33                161               
duquesne          31                34                32                38                36                171               
dutchmen          37                25                26                29                39                156               
eater             48                26                44                38                35                191               
electrocardiogram 34                40                34                30                36                174               
elegiac           33                30                35                29                27                154               
emitter           38                32                17                40                43                170               
enemy             23                29                34                37                24                147               
eternity          27                33                31                31                30                152               
evict             37                36                28                46                32                179               
exfoliate         35                28                31                31                36                161               
exoskeleta        31                31                27                31                39                159               
expensive         30                29                42                30                38                169               
exponential       36                30                29                39                36                170               
ferrite           32                30                34                27                31                154               
fest              34                32                39                33                37                175               
fetid             34                35                32                32                26                159               
firestone         28                36                27                30                37                158               
flick             32                43                45                28                27                175               
florid            33                30                38                34                30                165               
fly               39                36                34                36                30                175               
fm                35                43                30                36                27                171               
footmen           43                46                34                41                42                206               
footprint         26                28                35                42                38                169               
forcible          34                38                37                36                33                178               
foreign           37                29                45                27                33                171               
forsaken          40                26                23                32                31                152               
forty             39                33                37                35                25                169               
franklin          34                32                32                36                34                168               
fuzzy             33                29                35                29                36                162               
gail              42                38                39                31                33                183               
gamble            42                28                37                29                29                165               
garrett           40                33                41                31                29                174               
gascony           32                38                34                36                21                161               
gavel             32                26                32                28                28                146               
genuine           25                31                34                23                33                146               
gleam             30                31                31                27                40                159               
gnaw              33                38                25                37                27                160               
golden            36                34                26                39                30                165               
griffith          38                28                33                36                31                166               
groundhog         35                41                32                29                28                165               
gush              27                33                33                34                29                156               
hailstone         27                24                39                33                34                157               
haploidy          41                38                34                40                30                183               
hazy              38                32                34                25                33                162               
helpmate          29                25                30                36                30                150               
henceforth        26                32                26                27                29                140               
here              24                29                30                31                41                155               
hereinafter       29                30                36                51                39                185               
heritage          27                32                34                34                30                157               
hidebound         37                40                27                25                33                162               
himself           33                33                32                44                40                182               
hint              33                33                33                29                42                170               
hiram             34                38                27                41                44                184               
hoar              34                36                26                37                30                163               
hood              38                37                30                34                44                183               
horticulture      36                24                30                31                45                166               
hostler           43                39                33                40                40                195               
hubcap            35                30                35                37                32                169               
huge              45                35                37                27                36                180               
hundredfold       32                30                45                42                40                189               
impassion         35                33                29                27                34                158               
impetus           24                38                43                23                32                160               
inactive          35                37                43                31                24                170               
inaptitude        36                36                37                33                37                179               
incarnate         31                29                30                24                33                147               
incidental        34                26                44                37                35                176               
increasable       31                33                36                29                30                159               
indispose         42                33                43                36                34                188               
inexplicit        28                39                25                38                39                169               
insane            29                40                34                34                36                173               
interception      27                22                24                31                34                138               
interregnum       37                30                30                37                34                168               
iodide            39                34                32                40                32                177               
irreplaceable     24                35                39                42                30                170               
is                26                33                36                18                35                148               
jill              23                37                24                27                38                149               
jittery           29                36                33                25                29                152               
jutish            34                42                27                33                43                179               
keen              29                31                40                32                41                173               
languid           28                37                31                35                31                162               
latinate          38                35                30                31                39                173               
libation          38                33                27                40                31                169               
lindstrom         23                36                41                37                39                176               
lise              33                38                29                33                29                162               
logjam            25                41                42                28                30                166               
looseleaf         31                31                36                39                31                168               
lung              29                34                25                30                35                153               
lyrebird          30                39                30                41                28                168               
mafia             25                46                36                40                29                176               
magistrate        24                31                23                22                32                132               
magnum            31                41                37                33                38                180               
marquee           33                27                26                25                35                146               
masonite          33                38                32                37                38                178               
mausoleum         41                38                29                35                23                166               
mcginnis          30                33                33                29                26                151               
mckeon            28                31                26                34                50                169               
mclean            31                40                33                39                37                180               
medici            29                26                37                27                25                144               
melange           42                32                33                31                33                171               
messenger         28                34                34                39                24                159               
mete              28                26                40                37                38                169               
meteor            35                36                36                21                29                157               
metzler           30                25                33                40                27                155               
mignon            33                36                32                26                28                155               
mrs               24                30                43                27                33                157               
mud               30                38                41                37                32                178               
nantucket         32                38                29                32                31                162               
nip               32                32                45                31                31                171               
obstacle          37                41                34                33                36                181               
olav              35                23                33                40                39                170               
oligarchy         33                40                27                32                38                170               
osmotic           32                28                39                35                30                164               
outermost         33                22                35                30                35                155               
owl               35                29                37                39                24                164               
palestine         31                29                37                36                36                169               
passband          44                26                37                34                31                172               
patrician         36                36                27                34                40                173               
pendant           28                33                37                32                33                163               
peoria            36                34                29                37                39                175               
philosoph         26                28                30                40                27                151               
picasso           40                33                29                32                41                175               
pier              40                34                34                38                27                173               
plasmon           36                41                33                34                29                173               
poesy             34                36                36                30                31                167               
polygonal         28                29                28                39                38                162               
populist          36                42                31                31                38                178               
portraiture       35                38                40                34                47                194               
portuguese        39                36                35                35                53                198               
pradesh           31                37                29                34                28                159               
princeton         41                28                32                32                35                168               
puerto            31                39                36                39                30                175               
quizzed           31                30                37                48                31                177               
radian            33                24                34                45                40                176               
rafferty          26                32                34                39                36                167               
rainstorm         32                24                26                29                34                145               
ramada            33                41                34                28                25                161               
raman             35                36                31                29                33                164               
redstart          33                36                33                30                34                166               
resistant         31                29                27                35                33                155               
returnee          30                41                42                45                32                190               
ribosome          23                24                29                35                38                149               
rickettsia        47                33                32                36                31                179               
rife              49                33                36                23                35                176               
roughshod         30                42                26                32                30                160               
rummy             25                33                40                37                34                169               
rumpus            39                27                34                24                40                164               
sally             39                36                34                29                26                164               
salvageable       30                46                31                34                39                180               
santo             42                20                41                34                35                172               
savage            30                29                34                28                29                150               
scotsman          31                32                36                30                24                153               
scylla            41                25                36                32                38                172               
seen              40                29                38                40                31                178               
serenade          39                37                23                32                37                168               
serene            27                36                28                35                32                158               
setup             37                29                25                30                24                145               
sheet             37                30                26                29                37                159               
shelby            39                25                32                49                39                184               
short             35                33                33                34                34                169               
shuttlecock       29                36                35                30                48                178               
sink              27                38                37                37                48                187               
skeleton          31                39                33                34                40                177               
skulk             36                34                35                38                31                174               
smokestack        31                30                33                38                26                158               
snowy             26                34                37                25                29                151               
sousa             32                27                37                29                44                169               
southampton       31                33                32                22                34                152               
spade             30                33                34                30                34                161               
spatterdock       29                37                41                25                28                160               
splotch           24                33                32                27                33                149               
standoff          31                33                45                38                25                172               
stanza            28                27                33                35                40                163               
stauffer          30                41                36                34                31                172               
stencil           43                34                28                33                33                171               
styx              30                29                31                41                35                166               
surjective        32                41                34                30                34                171               
swami             32                32                46                54                35                199               
swing             29                35                28                24                34                150               
sybarite          31                33                35                31                43                173               
symplectic        43                37                31                26                30                167               
systemic          22                40                28                31                28                149               
tabernacle        30                24                24                33                37                148               
tassel            33                34                35                27                40                169               
teaspoon          30                29                31                38                33                161               
telephotography   29                42                31                34                33                169               
tend              46                31                22                36                31                166               
tercel            39                36                32                27                30                164               
thessaly          32                40                28                19                29                148               
thinnish          34                25                34                30                33                156               
today             33                30                26                35                37                161               
tomahawk          29                35                35                37                35                171               
torso             35                39                38                22                30                164               
tour              37                47                40                32                42                198               
toyota            30                37                36                34                37                174               
transceiver       33                37                31                40                29                170               
tub               44                32                29                25                38                168               
tuscarora         35                29                23                33                37                157               
tweed             25                32                35                31                41                164               
typewrite         26                31                32                38                35                162               
ulcerate          34                33                24                29                30                150               
unipolar          32                34                26                26                39                157               
upslope           34                41                26                34                33                168               
upstair           24                29                33                28                32                146               
vegetable         29                33                33                36                28                159               
visionary         34                36                35                33                22                160               
vocabularian      45                33                33                28                34                173               
warm              29                33                25                43                29                159               
web               41                24                42                35                32                174               
wert              37                40                29                31                25                162               
whatre            30                35                33                38                29                165               
wilkinson         43                26                36                34                30                169               
windowpane        32                31                31                29                21                144               
winery            27                41                31                36                30                165               
wingback          39                34                42                37                38                190               
woolworth         34                32                33                32                21                152               
worse             41                39                30                27                29                166               
writeup           45                40                32                25                28                170               
yard              27                34                37                32                34                164               
